iter	Passed	Remaining
0	1	197
1	3	175
2	5	161
3	6	157
4	7	135
5	9	142
6	10	138
7	11	134
8	13	138
9	15	141
10	17	142
11	19	144
12	21	143
13	22	139
14	24	136
15	25	132
16	26	129
17	28	129
18	28	122
19	30	121
20	31	119
21	33	117
22	34	115
23	36	114
24	37	112
25	39	113
26	40	108
27	41	107
28	43	105
29	44	104
30	45	101
31	47	100
32	48	98
33	50	97
34	51	95
35	52	93
36	53	91
37	55	89
38	56	88
39	57	86
40	58	84
41	60	83
42	61	81
43	63	80
44	64	79
45	66	77
46	67	76
47	69	74
48	70	73
49	71	71
50	72	70
51	74	68
52	76	67
53	77	65
54	78	64
55	81	63
56	82	62
57	84	61
58	86	59
59	87	58
60	89	57
61	91	55
62	92	54
63	94	53
64	96	51
65	97	50
66	99	48
67	100	47
68	102	46
69	104	44
70	106	43
71	107	41
72	109	40
73	110	38
74	112	37
75	114	36
76	115	34
77	117	33
78	118	31
79	120	30
80	122	28
81	123	27
82	126	25
83	127	24
84	129	22
85	130	21
86	132	19
87	133	18
88	135	16
89	137	15
90	139	13
91	142	12
92	144	10
93	145	9
94	148	7
95	150	6
96	151	4
97	153	3
98	155	1
99	156	0
