iter	Passed	Remaining
0	0	44
1	0	40
2	1	37
3	1	34
4	1	33
5	2	33
6	2	32
7	2	32
8	3	31
9	3	30
10	3	29
11	4	29
12	4	30
13	4	30
14	5	30
15	5	29
16	5	29
17	6	28
18	6	28
19	7	28
20	7	27
21	7	27
22	8	27
23	8	26
24	8	26
25	9	26
26	9	25
27	9	25
28	10	25
29	10	24
30	10	24
31	11	23
32	11	23
33	11	23
34	12	22
35	12	22
36	13	22
37	13	21
38	13	21
39	14	21
40	14	20
41	14	20
42	15	19
43	15	19
44	15	19
45	16	18
46	16	18
47	16	18
48	16	17
49	17	17
50	17	16
51	18	16
52	18	16
53	18	15
54	19	15
55	19	15
56	19	14
57	20	14
58	20	14
59	20	13
60	21	13
61	21	13
62	21	12
63	22	12
64	22	12
65	23	11
66	23	11
67	23	11
68	24	10
69	24	10
70	24	10
71	25	9
72	25	9
73	25	9
74	26	8
75	26	8
76	26	8
77	27	7
78	27	7
79	27	6
80	28	6
81	28	6
82	28	5
83	29	5
84	29	5
85	29	4
86	30	4
87	30	4
88	30	3
89	31	3
90	31	3
91	33	2
92	33	2
93	33	2
94	34	1
95	34	1
96	34	1
97	35	0
98	35	0
99	35	0
